Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;18.46;Apartamento
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;26.67;Apartamento
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;13.33;Apartamento
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;15.05;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;19.35;Apartamento
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;36.67;Apartamento
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;47.14;Apartamento
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;20.0;Apartamento
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;54.62;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;20.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;17.86;Apartamento
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;18.07;Apartamento
Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0;11.11;Apartamento
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;26.32;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;30.16;Apartamento
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;39.0;Apartamento
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;55.17;Apartamento
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;43.75;Apartamento
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;15.0;Apartamento
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;37.33;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;40.7;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;21.25;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;32.47;Apartamento
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;11.11;Apartamento
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0;39.71;Apartamento
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;18.67;Apartamento
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;72.16;Apartamento
Casa de Condomínio;Vargem Grande;2;2;1;90;1700.0;618.0;338.0;18.89;Casa
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0;12.86;Apartamento
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0;13.57;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;20.22;Apartamento
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;21.43;Apartamento
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;0.0;14.29;Apartamento
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0;22.67;Apartamento
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;35.8;Apartamento
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0;10.0;Apartamento
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;69.33;Apartamento
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0;32.86;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;20.21;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;31.43;Apartamento
