Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Barra da Tijuca;2;1;1;90;3000.0;1846.0;438.0
Apartamento;Guadalupe;1;0;0;60;700.0;;
Apartamento;Copacabana;2;0;0;79;3500.0;960.0;171.0
Apartamento;Camorim;3;1;1;75;2100.0;680.0;
Apartamento;Recreio dos Bandeirantes;2;1;1;70;2200.0;750.0;
Apartamento;Vila Isabel;3;1;2;79;2200.0;622.0;122.0
Apartamento;Jacarepaguá;3;1;1;78;2000.0;1200.0;110.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;81;1800.0;750.0;110.0
Apartamento;Barra da Tijuca;2;1;1;90;2200.0;1392.0;289.0
Apartamento;Lagoa;2;2;2;100;3500.0;1020.0;380.0
Apartamento;Leblon;2;1;0;80;5000.0;1700.0;180.0
Apartamento;Recreio dos Bandeirantes;2;2;1;84;1600.0;510.0;185.0
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1300.0;100.0
Apartamento;Leblon;2;1;0;82;3800.0;1060.0;
Apartamento;Bonsucesso;2;0;0;61;1100.0;284.0;
Apartamento;Laranjeiras;2;0;0;70;2200.0;500.0;74.0
Casa de Condomínio;Campo Grande;2;1;1;75;1100.0;400.0;
Apartamento;Flamengo;2;1;0;70;2600.0;900.0;120.0
Apartamento;Recreio dos Bandeirantes;3;2;1;80;2000.0;750.0;370.0
Apartamento;Recreio dos Bandeirantes;2;1;1;72;1500.0;650.0;131.0
Apartamento;Copacabana;3;1;1;100;8000.0;1050.0;340.0
Apartamento;Barra da Tijuca;2;1;1;90;3000.0;1860.0;450.0
Apartamento;Copacabana;2;2;1;98;4200.0;760.0;250.0
Apartamento;Recreio dos Bandeirantes;2;2;1;83;1900.0;768.0;
Apartamento;Tijuca;2;1;1;80;1500.0;500.0;30.0
Apartamento;Barra da Tijuca;1;1;0;80;5000.0;1100.0;200.0
Apartamento;Leme;1;0;1;90;3500.0;550.0;
Apartamento;Tijuca;3;1;2;100;2500.0;1300.0;283.0
Apartamento;Ipanema;3;0;0;85;3450.0;654.0;143.0
Apartamento;Leblon;2;0;0;63;2200.0;900.0;175.0
Apartamento;Engenho de Dentro;2;1;0;66;1000.0;410.0;
Apartamento;Ipanema;2;1;0;78;3600.0;644.0;128.0
Apartamento;Taquara;2;1;0;70;1000.0;500.0;
Apartamento;Botafogo;2;1;2;84;4230.0;1140.0;202.0
Apartamento;Ipanema;2;1;0;100;4000.0;800.0;86.0
Apartamento;Inhoaíba;2;1;0;60;650.0;255.0;
Apartamento;Tijuca;2;1;1;97;2500.0;660.0;
Apartamento;Méier;3;1;0;100;1000.0;600.0;100.0
Apartamento;Rocha;2;1;0;68;1000.0;1000.0;
Apartamento;Leblon;3;1;0;98;4000.0;1240.0;164.0
Apartamento;Tijuca;3;0;0;80;1600.0;350.0;
Apartamento;Barra da Tijuca;3;1;2;100;3500.0;1300.0;276.0
Apartamento;Vila da Penha;2;0;0;75;1300.0;;252.0
Apartamento;Ipanema;3;2;1;80;5700.0;1323.0;365.0
Casa;Campo Grande;2;1;0;80;1200.0;;
Casa de Condomínio;Vargem Grande;2;1;0;61;1450.0;667.0;27.0
Apartamento;Vila Isabel;2;1;1;70;1500.0;695.0;71.0
Apartamento;Tijuca;2;1;1;84;2750.0;690.0;182.0
Apartamento;Anil;2;0;0;74;1200.0;;
